StartDate,EndDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q54_1,Q60_1,E_1_C_N_Rating_1,E_1_C_N_Confidence_1,E_2_C_N_Rating_1,E_2_C_N_Confidence_1,E_3_C_N_Rating_1,E_3_C_N_Confidence_1,E_4_C_N_Rating_1,E_4_C_N_Confidence_1,E_1_C_A_Rating_1,E_1_C_A_Confidence_1,E_2_C_A_Rating_1,E_2_C_A_Confidence_1,E_3_C_A_Rating_1,E_3_C_A_Confidence_1,E_4_C_A_Rating_1,E_4_C_A_Confidence_1,E_1_D_N_Rating_1,E_1_D_N_Confidence_1,E_2_D_N_Rating_1,E_2_D_N_Confidence_1,E_3_D_N_Rating_1,E_3_D_N_Confidence_1,E_4_D_N_Rating_1,E_4_D_N_Confidence_1,E_1_D_A_Rating_1,E_1_D_A_Confidence_1,E_2_D_A_Rating_1,E_2_D_A_Confidence_1,E_3_D_A_Rating_1,E_3_D_A_Confidence_1,E_4_D_A_Rating_1,E_4_D_A_Confidence_1,Se_1_C_N_Rating_1,Se_1_C_N_Confidence_1,Se_2_C_N_Rating_1,Se_2_C_N_Confidence_1,Se_3_C_N_Rating_1,Se_3_C_N_Confidence_1,Se_4_C_N_Rating_1,Se_4_C_N_Confidence_1,Se_1_C_A_Rating_1,Se_1_C_A_Confidence_1,Se_2_C_A_Rating_1,Se_2_C_A_Confidence_1,Se_3_C_A_Rating_1,Se_3_C_A_Confidence_1,Se_4_C_A_Rating_1,Se_4_C_A_Confidence_1,Se_1_D_N_Rating_1,Se_1_D_N_Confidence_1,Se_2_D_N_Rating_1,Se_2_D_N_Confidence_1,Se_3_D_N_Rating_1,Se_3_D_N_Confidence_1,Se_4_D_N_Rating_1,Se_4_D_N_Confidence_1,Se_1_D_A_Rating_1,Se_1_D_A_Confidence_1,Se_2_D_A_Rating_1,Se_2_D_A_Confidence_1,Se_3_D_A_Rating_1,Se_3_D_A_Confidence_1,Se_4_D_A_Rating_1,Se_4_D_A_Confidence_1,R_1_C_N_Rating_1,R_1_C_N_Confidence_1,R_2_C_N_Rating_1,R_2_C_N_Confidence_1,R_3_C_N_Rating_1,R_3_C_N_Confidence_1,R_4_C_N_Rating_1,R_4_C_N_Confidence_1,R_1_C_A_Rating_1,R_1_C_A_Confidence_1,R_2_C_A_Rating_1,R_2_C_A_Confidence_1,R_3_C_A_Rating_1,R_3_C_A_Confidence_1,R_4_C_A_Rating_1,R_4_C_A_Confidence_1,R_1_D_N_Rating_1,R_1_D_N_Confidence_1,R_2_D_N_Rating_1,R_2_D_N_Confidence_1,R_3_D_N_Rating_1,R_3_D_N_Confidence_1,R_4_D_N_Rating_1,R_4_D_N_Confidence_1,R_1_D_A_Rating_1,R_1_D_A_Confidence_1,R_2_D_A_Rating_1,R_2_D_A_Confidence_1,R_3_D_A_Rating_1,R_3_D_A_Confidence_1,R_4_D_A_Rating_1,R_4_D_A_Confidence_1,St_1_C_N_Rating_1,St_1_C_N_Confidence_1,St_2_C_N_Rating_1,St_2_C_N_Confidence_1,St_3_C_N_Rating_1,St_3_C_N_Confidence_1,St_4_C_N_Rating_1,St_4_C_N_Confidence_1,St_1_C_A_Rating_1,St_1_C_A_Confidence_1,St_2_C_A_Rating_1,St_2_C_A_Confidence_1,St_3_C_A_Rating_1,St_3_C_A_Confidence_1,St_4_C_A_Rating_1,St_4_C_A_Confidence_1,St_1_D_N_Rating_1,St_1_D_N_Confidence_1,St_2_D_N_Rating_1,St_2_D_N_Confidence_1,St_3_D_N_Rating_1,St_3_D_N_Confidence_1,St_4_D_N_Rating_1,St_4_D_N_Confidence_1,St_1_D_A_Rating_1,St_1_D_A_Confidence_1,St_2_D_A_Rating_1,St_2_D_A_Confidence_1,St_3_D_A_Rating_1,St_3_D_A_Confidence_1,St_4_D_A_Rating_1,St_4_D_A_Confidence_1,C_1_C_N_Rating_1,C_1_C_N_Confidence_1,C_2_C_N_Rating_1,C_2_C_N_Confidence_1,C_3_C_N_Rating_1,C_3_C_N_Confidence_1,C_4_C_N_Rating_1,C_4_C_N_Confidence_1,C_1_C_A_Rating_1,C_1_C_A_Confidence_1,C_2_C_A_Rating_1,C_2_C_A_Confidence_1,C_3_C_A_Rating_1,C_3_C_A_Confidence_1,C_4_C_A_Rating_1,C_4_C_A_Confidence_1,C_1_D_N_Rating_1,C_1_D_N_Confidence_1,C_2_D_N_Rating_1,C_2_D_N_Confidence_1,C_3_D_N_Rating_1,C_3_D_N_Confidence_1,C_4_D_N_Rating_1,C_4_D_N_Confidence_1,C_1_D_A_Rating_1,C_1_D_A_Confidence_1,C_2_D_A_Rating_1,C_2_D_A_Confidence_1,C_3_D_A_Rating_1,C_3_D_A_Confidence_1,C_4_D_A_Rating_1,C_4_D_A_Confidence_1,G_1_C_N_Rating_1,G_1_C_N_Confidence_1,G_2_C_N_Rating_1,G_2_C_N_Confidence_1,G_3_C_N_Rating_1,G_3_C_N_Confidence_1,G_4_C_N_Rating_1,G_4_C_N_Confidence_1,G_1_C_A_Rating_1,G_1_C_A_Confidence_1,G_2_C_A_Rating_1,G_2_C_A_Confidence_1,G_3_C_A_Rating_1,G_3_C_A_Confidence_1,G_4_C_A_Rating_1,G_4_C_A_Confidence_1,G_1_D_N_Rating_1,G_1_D_N_Confidence_1,G_2_D_N_Rating_1,G_2_D_N_Confidence_1,G_3_D_N_Rating_1,G_3_D_N_Confidence_1,G_4_D_N_Rating_1,G_4_D_N_Confidence_1,G_1_D_A_Rating_1,G_1_D_A_Confidence_1,G_2_D_A_Rating_1,G_2_D_A_Confidence_1,G_3_D_A_Rating_1,G_3_D_A_Confidence_1,G_4_D_A_Rating_1,G_4_D_A_Confidence_1,Q48,Q49,Q50,RandomID
11/18/19 8:32,11/18/19 8:32,IP Address,,100,32,TRUE,11/18/19 8:32,R_DS366e19KXI2k37,,,,,,,anonymous,EN,I consent. Begin the study.,100,0,,,,,,,,,,,,,,,,,,,82,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,Male,Yes.,1238547958
11/18/19 8:32,11/18/19 8:33,IP Address,,100,57,TRUE,11/18/19 8:33,R_2CstP16nfhxK0BO,,,,,,,anonymous,EN,I consent. Begin the study.,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,Male,Yes.,1333273226
11/18/19 8:32,11/18/19 8:33,IP Address,,100,28,TRUE,11/18/19 8:33,R_3EL42DIJ3igL9CO,,,,,,,anonymous,EN,I consent. Begin the study.,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,30,,,,,,,,,,,,,,,,,,,33,Female,Yes.,1780965439
11/18/19 8:32,11/18/19 8:33,IP Address,,100,64,TRUE,11/18/19 8:33,R_tX8FPyOGLO1A6sh,,,,,,,anonymous,EN,I consent. Begin the study.,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,Male,Yes.,1508847382
11/18/19 8:32,11/18/19 8:33,IP Address,,100,49,TRUE,11/18/19 8:33,R_2OIxja5fbLe9LE0,,,,,,,anonymous,EN,I consent. Begin the study.,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,Female,Yes.,1588377656
11/18/19 8:32,11/18/19 8:33,IP Address,,100,31,TRUE,11/18/19 8:33,R_elYODCFmufGg7ex,,,,,,,anonymous,EN,I consent. Begin the study.,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,36,,,,,,,,,26,Male,Yes.,1802024955
11/18/19 8:32,11/18/19 8:33,IP Address,,100,48,TRUE,11/18/19 8:33,R_1LbTSGYjInW7Dj5,,,,,,,anonymous,EN,I consent. Begin the study.,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,31,Female,Yes.,1960854935
11/18/19 8:32,11/18/19 8:33,IP Address,,100,62,TRUE,11/18/19 8:33,R_2y4t0QjlJbsOXoN,,,,,,,anonymous,EN,I consent. Begin the study.,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100,23,Female,Yes.,1907667177
11/18/19 8:32,11/18/19 8:33,IP Address,,100,59,TRUE,11/18/19 8:33,R_1dsjcLkSu0BUTok,,,,,,,anonymous,EN,I consent. Begin the study.,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Male,Yes.,1119083610
11/18/19 8:32,11/18/19 8:33,IP Address,,100,69,TRUE,11/18/19 8:33,R_V2XHuXVUBQXUmyt,,,,,,,anonymous,EN,I consent. Begin the study.,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,Male,Yes.,1985964804
